Family,Genus,Subgenus,Species,1996,1997,1998,1999,2002,2011,2012,Prop. years present,New/ Absent in 2011-12,Num_years
Apidae,Anthophorula,(Anthophorisca),nitens, ,C,C, , ,C,C,0.57, ,4
Apidae,,(Anthophorula),albicans, ,C,C, ,R,S,C,0.71, ,5
Apidae,Apis,,mellifera,R,C,C,C,C,C,C,1, ,7
Apidae,Bombus,(Crotchiibombus),crotchii, ,C,C,S, , , ,0.43,A,3
Apidae,,(Fervidobombus),californicus,R,C,C,R,R,R,R,1, ,7
Apidae,,(Pyrobombus),caliginosus, ,C, , , ,S,S,0.43, ,3
Apidae,,,melanopygus,R,C,C,R,R,C,R,1, ,7
Apidae,,,vandykei, ,R,R, , ,R, ,0.43, ,3
Apidae,,,vosnesenskii,R,C,C,S,S,C,R,1, ,7
Apidae,Brachynomada,(Melanomada),melanantha, , , , , , ,R,0.14,N,1
Apidae,Centris,(Paracentris),aff. californica, ,C,C,R, , , ,0.43,A,3
Apidae,Ceratina,(Ceratina),arizonensis,C,C,C,C,C,C,C,1, ,7
Apidae,,(Euceratina),dallatorreana, , ,S, ,R, ,C,0.43, ,3
Apidae,,(Zadontomerus),acantha,S,C,R, ,R,C,C,0.86, ,6
Apidae,,,hurdi,S,R,R, ,R,C,C,0.86, ,6
Apidae,,,nanula,R,C,C,C,C,C,C,1, ,7
Apidae,,,aff. nanula,S,R,S, ,S,R,R,0.86, ,6
Apidae,,,pacifica, ,R,S, , ,S,R,0.57, ,4
Apidae,,,punctigena,S,C,R,C, ,R,S,0.86, ,6
Apidae,,,sequoiae,R,C,C,C,R,C,C,1, ,7
Apidae,,,tejonensis, ,C,R, , ,R, ,0.43, ,3
Apidae,,,timberlakei, ,R,R,R, ,R,S,0.71, ,5
Apidae,Diadasia,,aff. ochracea, ,S,S, ,S,R,C,0.71, ,5
Apidae,,,angusticeps, ,R,R,C,R,C,C,0.86, ,6
Apidae,,,australis, , , , ,S,S, ,0.29, ,2
Apidae,,,bituberculata,R,C,R,C,C,C,C,1, ,7
Apidae,,,consociata, , , , , , ,R,0.14,N,1
Apidae,,,laticauda, ,C,C,R,R,C,C,0.86, ,6
Apidae,,,nigrifrons, , , , , ,S, ,0.14,N,1
Apidae,,,nitidifrons, ,R,C,R,R,C,C,0.86, ,6
Apidae,,,rinconis, , , , , , ,R,0.14,N,1
Apidae,Epeolus,,americanus,S,R, , ,S,R,R,0.71, ,5
Apidae,,,compactus, , ,R,S, , ,S,0.43, ,3
Apidae,,,mesillae, , , , , ,S,R,0.29,N,2
Apidae,,,minimus, , , ,S,S, ,S,0.43, ,3
Apidae,Eucera,(Synhalonia),actuosa, ,S,R,R,C,C,C,0.86, ,6
Apidae,,,amsinckiae,R,R,R, ,R,R,R,0.86, ,6
Apidae,,,cordleyi, ,R,C, ,S,C,R,0.71, ,5
Apidae,,,delphinii, ,C,R,S,S,R,R,0.86, ,6
Apidae,,,dorsata, ,C,R,R,S,C,C,0.86, ,6
Apidae,,,edwardsii,S,R,R, ,S, ,R,0.71, ,5
Apidae,,,lunata, , ,R, , ,R,R,0.43, ,3
Apidae,,,venusta ssp. carinata,C,C,C,R, ,R,R,0.86, ,6
Apidae,,,virgata, , ,C,S,S,C,C,0.71, ,5
Apidae,Habropoda,,dammersi, , ,R, , , , ,0.14,A,1
Apidae,,,depressa,S,C,C,R,S,C,C,1, ,7
Apidae,,,tristissima,R,C,R,S,R,R,C,1, ,7
Apidae,Melecta,(Melecta),pacifica, ,R,R, , ,R, ,0.43, ,3
Apidae,,,separata, , ,S,R,R,R,C,0.71, ,5
Apidae,,(Melectomimus),edwardsii, ,R, , , ,S, ,0.29, ,2
Apidae,Melissodes,(Callimelissodes),clarkiae, ,R, , , ,R,R,0.43, ,3
Apidae,,,composita, , , , , , ,S,0.14,N,1
Apidae,,,lupina, ,R,C, ,R,C,C,0.71, ,5
Apidae,,,lustra, ,S, , , , , ,0.14,A,1
Apidae,,,n. sp. 1, ,R, ,R, , , ,0.29,A,2
Apidae,,,n. sp. 2, ,R,R,R,S,R,C,0.86, ,6
Apidae,,,nigracauda, , ,S, , , , ,0.14,A,1
Apidae,,,plumosa, ,R, , , ,R,C,0.43, ,3
Apidae,,,stearnsi, ,R,S, ,C,C,C,0.71, ,5
Apidae,,(Eumelissodes),paulula, ,R, , , , , ,0.14,A,1
Apidae,,,velutina, , , , , , ,R,0.14,N,1
Apidae,,(Melissodes),tepida, , , , , , ,C,0.14,N,1
Apidae,Neopasites,(Micropasites),sp. 4, , , , , , ,S,0.14,N,1
Apidae,Nomada,(Centrias),crotchii spp. crotchii, ,R,S, , , , ,0.29,A,2
Apidae,,,crotchii ssp. nigrior, , ,C, , ,R,R,0.43, ,3
Apidae,,,sp. A,S,R, , , , , ,0.29,A,2
Apidae,,(Holonomada),edwardsii spp. edwardsii, ,R,R, , , ,S,0.43, ,3
Apidae,,(Nomada),sp. A,R,R,S, , ,R,S,0.71, ,5
Apidae,,,sp. AA, , , , , , ,S,0.14,N,1
Apidae,,,sp. B,S,S,S, , ,R,R,0.71, ,5
Apidae,,,sp. BB, , , , ,S,R,R,0.43, ,3
Apidae,,,sp. CC, , , , ,S, ,S,0.29, ,2
Apidae,,,sp. D,C,C,C,S, , , ,0.57,A,4
Apidae,,,sp. DD, , , , , ,S, ,0.14,N,1
Apidae,,,sp. E,C,R,S,R, ,R,R,0.86, ,6
Apidae,,,sp. EE, , , , , ,R, ,0.14,N,1
Apidae,,,sp. F,S, ,R, , , ,S,0.43, ,3
Apidae,,,sp. FF, , , , , , ,S,0.14,N,1
Apidae,,,sp. G, , , , , ,R,R,0.29,N,2
Apidae,,,sp. GG, , ,S, , , ,R,0.29, ,2
Apidae,,,sp. HH, , ,S, ,S, , ,0.29,A,2
Apidae,,,sp. I, , ,S, , , , ,0.14,A,1
Apidae,,,sp. II, , , , ,R, ,R,0.29, ,2
Apidae,,,sp. J, , ,S, , ,S, ,0.29, ,2
Apidae,,,sp. Q, ,S,S, , ,S, ,0.43, ,3
Apidae,,,sp. R, ,R,R, , , , ,0.29,A,2
Apidae,,,sp. S, ,S, , , , , ,0.14,A,1
Apidae,,,sp. T, ,S, , , , , ,0.14,A,1
Apidae,,,sp. U, ,C,C, , ,R,C,0.57, ,4
Apidae,,,sp. V,S,R,R, ,R,R,R,0.86, ,6
Apidae,,,sp. W, ,C,C, , ,C,C,0.57, ,4
Apidae,,,sp. X, , ,S, , ,R,R,0.43, ,3
Apidae,,,sp. Y, , ,R, ,S, , ,0.29,A,2
Apidae,,,sp. Z, , ,C, , , , ,0.14,A,1
Apidae,Oreopasites,,aff. hurdi n.sp., ,S,R,S, ,S,S,0.71, ,5
Apidae,,,vanduzeei,R,R,S,S, ,S, ,0.71, ,5
Apidae,Peponapis,(Peponapis),pruinosa, , , , , , ,R,0.14,N,1
Apidae,Townsendiella,,ensifera, ,R,C,C, , ,R,0.57, ,4
Apidae,,,rufiventris, , ,S, , , , ,0.14,A,1
Apidae,Triepeolus,,heterurus, , , , , , ,R,0.14,N,1
Apidae,,,melanarius, , , , , , ,S,0.14,N,1
Apidae,,,sp. P1, , , , , ,R,S,0.29,N,2
Apidae,,,sp. P2, , , , , ,R, ,0.14,N,1
Apidae,,,sp. P3, , , , , , ,R,0.14,N,1
Apidae,,,sp. P4, , ,R, , , , ,0.14,A,1
Apidae,,,timberlakei, ,R,R,R, ,S,R,0.71, ,5
Apidae,,,aff. timberlakei, , , , ,S,R, ,0.29, ,2
Apidae,Xeromelecta,(Melectomorpha),californica,R,C,R,C, ,R,R,0.86, ,6
Apidae,,(Xeromelecta),larreae,S, , , , , , ,0.14,A,1
Apidae,Xylocopa,(Notoxylocopa),tabaniformis ssp. orpifex,R,C,R,R,S,R,R,1, ,7
,,,,,,,,,,,,,
Colletidae,Colletes,consors,californicus, , , , , , ,S,0.14,N,1
Colletidae,,,consors ssp. pascoensis,C,C,R,R, ,C,R,0.86, ,6
Colletidae,,daleae,aff. algarobiae,S,C,C,R, ,R,C,0.86, ,6
Colletidae,,simulans,fulgidus ssp. fulgidus, ,R,R,R, , ,R,0.57, ,4
Colletidae,,,simulans ssp. nevadensis, ,S, , , , , ,0.14,A,1
Colletidae,,,slevini,R,C,C,C, ,R,R,0.86, ,6
Colletidae,Hylaeus,(Cephalylaeus),nunenmacheri, , ,S,R, , , ,0.29,A,2
Colletidae,,(Hylaeus),bisinuatus, ,S, , , , , ,0.14,A,1
Colletidae,,,conspicuus, , , ,R,R, ,R,0.43, ,3
Colletidae,,,granulatus, ,C,C,C,S,R,R,0.86, ,6
Colletidae,,,mesillae ssp. cressoni,R,C,C,C,S,C,C,1, ,7
Colletidae,,,rudbeckiae,R, , , , ,R,R,0.43, ,3
Colletidae,,,verticalis,R,C,C,C, ,R,R,0.86, ,6
Colletidae,,(Paraprosopis),aff. cookii n.sp., ,R,R,R, , , ,0.43,A,3
